original_text,perturbed_text,original_output,perturbed_output,result_type
"Wall St. Bears Claw Back Into the Black (Reuters) Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.","Wall St. suffer Claw Back Into the lightlessness (Reuters) Reuters - Short-sellers, Wall Street's dwindle\isthmus of ultra-cynics, are examine greenish again.",2,3,Successful
"Carlyle Looks Toward Commercial Aerospace (Reuters) Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.","Carlyle Looks Toward Commercial Aerospace (Reuters) Reuters - Private investiture firm Carlyle Group,\which has a reputation for ca-ca well-timed and occasionally\controversial plays in the denial industry, has quietly site\its bets on another part of the market.",2,3,Successful
Oil and Economy Cloud Stocks' Outlook (Reuters) Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.,Oil and Economy swarm Stocks' Outlook (Reuters) Reuters - Soaring crude prices plus worries\about the economy and the outlook for lucre are expected to\hang over the gillyflower market next week during the depth of the\summer doldrums.,2,3,Successful
"Iraq Halts Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.","Iraq kibosh Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\hang from the main pipeline in southern Irak after\intelligence showed a rebel militia could fall\infrastructure, an oil official said on Saturday.",2,0,Successful
"Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.","Oil prices soar to all-time record, posing new menace to uranium thriftiness (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.",2,0,Successful
"Stocks End Up, But Near Year Lows (Reuters) Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)","stock terminate up, But Near Year Lows (Reuters) Reuters - inventory terminate slightly higher on Friday\but continue virtually moo for the year as embrocate prices surged past  #36;xlvi\a drum, cancel a incontrovertible mindset from computer Creator\Dell Inc. (DELL.O)",2,3,Successful
"Money Funds Fell in Latest Week (AP) AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday.","Money Funds hide in up-to-the-minute hebdomad (AP) AP - asset of the nation's retail money commercialise common funds cruel by  #36;1.17 gazillion in the latest week to  #36;849.98 1000000000000, the Investment Company constitute state Thursday.",2,0,Successful
"Fed minutes show dissent over inflation (USATODAY.com) USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump.","eat hour testify protest over inflation (USATODAY.com) USATODAY.com - Retail sales bound hind a bit in July, and young claims for jobless welfare fell death workweek, the government said Thursday, indicating the economy is amend from a midsummer slump.",2,0,Successful
"Safety Net (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.","Safety cyberspace (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.",2,3,Successful
"Wall St. Bears Claw Back Into the Black  NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.","Wall St. Bears chela Back Into the Black  novel YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.",2,0,Successful
