result_type	original_text	perturbed_text	original_output	perturbed_output
Failed	one long string of cliches .	one long string of cliches .	0	0
Failed	if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .	if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .	0	0
Successful	k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .	K-19 exploits the great fear of nuclear war to create the perfect tension in Hollywood.	0	1
Successful	it 's played in the most straight-faced fashion , with little humor to lighten things up .	it's just straight, like it's just a matter of principle, and the little humor is there to lighten things up.	0	1
Failed	there is a fabric of complex ideas here , and feelings that profoundly deepen them .	there is a fabric of complex ideas here , and feelings that profoundly deepen them .	1	1
Failed	although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .	although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .	1	1
Failed	it all feels like a monty python sketch gone horribly wrong .	it all feels like a monty python sketch gone horribly wrong .	0	0
Failed	it 's a stunning lyrical work of considerable force and truth .	it 's a stunning lyrical work of considerable force and truth .	1	1
Successful	however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .	but it's a little amusing to those who like the movie, young sci-fi fans will be disgusted.	0	1
Successful	broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .	"the case may be able to be removed with something like a well-made ""misfit"" style that could be helpful in clearing the"	1	0
Successful	although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .	given the best food in the world, it's unlikely that the country's best cuisine will come easily to the german cuisine.	1	0
Failed	a very well-made , funny and entertaining picture .	a very well-made , funny and entertaining picture .	1	1
Successful	a valueless kiddie paean to pro basketball underwritten by the nba .	a kid's paean to the pro basketball league.	0	1
Successful	all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .	the fact that we really did it, really we were there, we did it.	0	1
Failed	a swashbuckling tale of love , betrayal , revenge and above all , faith .	a swashbuckling tale of love , betrayal , revenge and above all , faith .	1	1
Failed	there ought to be a directing license , so that ed burns can have his revoked .	there ought to be a directing license , so that ed burns can have his revoked .	0	0
Failed	a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .	a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .	1	1
Failed	on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .	on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .	1	1
Failed	macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .	macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .	1	1
Failed	the jabs it employs are short , carefully placed and dead-center .	the jabs it employs are short , carefully placed and dead-center .	1	1
Successful	despite its title , punch-drunk love is never heavy-handed .	despite the title, love is never passionate.	1	0
